wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (30.39999999999999858 40.283299999999997),D12A210,Akçay D. Dogancilar,40.2833,30.4,650,35
Point (32.79719999999999658 39.79999999999999716),D12A211,MOGAN MOGAN GÖLÜ ÇIKIŞI,39.8,32.7972,557,924
Point (30.19750000000000156 40.86719999999999686),D12A208,BUDAKLAR D. AKMEŞE,40.8672,30.1975,79,40
Point (30.39999999999999858 40.26670000000000016),D12A210,AKÇAY D. DOĞANCILAR,40.2667,30.4,650,35
Point (31.01670000000000016 39.73329999999999984),D12A234,MEŞELİ D. BEŞEVLER,39.7333,31.0167,54,970
Point (30.24390000000000001 40.90690000000000026),D12A234,MEŞELİ D. BEŞEVLER,40.9069,30.2439,54,9
Point (29.45309999999999917 40.29719999999999658),D12A231,KOCADERE FETHİYE,40.2972,29.4531,303,85
Point (31.70499999999999829 40.52969999999999828),D12A232,KARLANBOĞAZI D. HACCAĞIZ,40.5297,31.705,1439,36
Point (32.4643999999999977 39.88940000000000197),D12A238,ANKARA Ç. ESENKENT,39.8894,32.4644,755,4990
Point (32.44140000000000157 40.1828000000000003),D12A240,İLHAN Ç. BAYAT,40.1828,32.4414,1020,108
Point (30.21669999999999945 39.93330000000000268),D12A235,DEĞİRMENDERE DUDAŞ,39.9333,30.2167,940,39
Point (30.23329999999999984 39.95000000000000284),D12A235,DEĞİRMENDERE DUDAŞ,39.95,30.2333,940,39
Point (30.31390000000000029 40.89470000000000027),D12A224,AKMEŞE DERESİ DEREKÖY,40.8947,30.3139,30,122
Point (30.78330000000000055 39.88329999999999842),D12A225,DEĞİRMENDERE GÜNDÜZLER,39.8833,30.7833,860,21
Point (30.31330000000000169 40.89359999999999928),D12A224,AKMEŞE D. DEREKÖY,40.8936,30.3133,30,111
Point (30.3130999999999986 40.89390000000000214),D12A224,AKMEŞE D. DEREKÖY,40.8939,30.3131,30,111.1
Point (29.84919999999999973 39.977800000000002),D12A228,GÜRLEYK D. DEREKÖY,39.9778,29.8492,819,15
Point (30.36939999999999884 40.49170000000000158),D12A230,KARAKAYA D. DOĞANTEPE,40.4917,30.3694,192,56
Point (30.30000000000000071 39.966700000000003),D12A227,ÇARSAMBA D. HİSARCIK,39.9667,30.3,900,23
Point (29.86670000000000158 39.966700000000003),D12A228,Gürleyk D. Dereköy,39.9667,29.8667,819,15
Point (29.40859999999999985 40.11809999999999832),D12A175,KOCADERE AKİNCILAR,40.1181,29.4086,328,63
Point (29.41750000000000043 40.11889999999999645),D12A175,KOCADERE AKİNCILAR,40.1189,29.4175,328,59
Point (30.13329999999999842 39.81669999999999732),D12A172,SARISU INONÜ,39.8167,30.1333,835,298
Point (30.14999999999999858 39.81669999999999732),D12A172,SARISU İNONÜ,39.8167,30.15,835,298
Point (29.46920000000000073 40.04919999999999902),D12A177,HOCAKÖY DERE HOCAKÖY,40.0492,29.4692,360,35
Point (29.47190000000000154 40.05579999999999785),D12A177,HOCAKÖY DERE HOCAKÖY,40.0558,29.4719,363,31
Point (31.83170000000000144 38.95889999999999986),D12A176,AKGÖL ÇIKIġI K.HASAN KÖP.,38.9589,31.8317,890,1000
Point (41.83169999999999789 38.95889999999999986),D12A176,Akgöl Çikisi K.Hasan Köp.,38.9589,41.8317,890,1000
Point (30.10000000000000142 40.033299999999997),D12A160,SÖGÜT D. KÜRE,40.0333,30.1,510,94
Point (29.6875 40.22919999999999874),D12A164,BOĞAZDERE MAHMUDİYE,40.2292,29.6875,256,62
Point (29.50560000000000116 40.03860000000000241),D12A156,BEDRESU ISAÖREN,40.0386,29.5056,326,63
Point (31.75 39.10000000000000142),D12A159,GÖKPİNAR D. AYDİNLI,39.1,31.75,790,2117
Point (30.03330000000000055 39.81669999999999732),D12A170,SARISU KANDİLLİ,39.8167,30.0333,870,215
Point (29.91669999999999874 39.76670000000000016),D12A171,Sarisu Yenidodurga,39.7667,29.9167,1070,121
Point (29.98329999999999984 40.45000000000000284),D12A167,PAPAZ D. AHİLER,40.45,29.9833,163,101
